date,fear_greed_score,sentiment_label,returns
2025-01-01,66,Greed,0.009506665811866766
2025-01-02,70,Greed,0.009371590577635924
2025-01-03,74,Greed,0.026148140488576166
2025-01-04,73,Greed,0.012722443652634086
2025-01-05,72,Greed,0.0017576299211785607
2025-01-06,76,Extreme Greed,0.0010976417378676384
2025-01-07,78,Extreme Greed,0.03929061349089458
2025-01-08,70,Greed,-0.05162209644605953
2025-01-09,69,Greed,-0.019962274983833184
2025-01-10,50,Neutral,-0.027789201540270092
2025-01-11,69,Greed,0.025551484281189252
2025-01-12,62,Greed,-0.0018691299864078692
2025-01-13,61,Greed,-0.0011080929848019672
2025-01-14,63,Greed,1.6711472551778073e-05
2025-01-15,70,Greed,0.022420179557139264
2025-01-16,75,Greed,0.03871716717163309
2025-01-17,75,Greed,-0.0026773471284613493
2025-01-18,77,Extreme Greed,0.04114280201091147
2025-01-19,77,Extreme Greed,0.001669748601087706
2025-01-20,76,Extreme Greed,-0.029321798780760466
2025-01-21,76,Extreme Greed,0.004834063922662946
2025-01-22,84,Extreme Greed,0.04340718504219265
2025-01-23,75,Greed,-0.023626378572642714
2025-01-24,75,Greed,0.0038011129487294237
2025-01-25,75,Greed,0.007375807171305482
2025-01-26,73,Greed,-0.00037346006842065016
2025-01-27,71,Greed,-0.021411038221822998
2025-01-28,72,Greed,-0.005790016431870937
2025-01-29,72,Greed,-0.006329605528613502
2025-01-30,70,Greed,0.023746844710854864
2025-01-31,76,Extreme Greed,0.010244355642907266
2025-02-01,68,Greed,-0.022896399683704383
2025-02-02,60,Greed,-0.016678712065968493
2025-02-03,44,Fear,-0.030856495141148077
2025-02-04,72,Greed,0.0399570708411936
2025-02-05,54,Neutral,-0.033000148295620035
2025-02-06,49,Neutral,-0.01564998790964922
2025-02-07,44,Fear,0.0005439050939168855
2025-02-08,44,Fear,-0.0007964206566113408
2025-02-09,46,Fear,-2.264790305628317e-06
2025-02-10,43,Fear,-0.00010003259641711004
2025-02-11,47,Neutral,0.008818389373592916
2025-02-12,46,Fear,-0.01704316793016536
2025-02-13,50,Neutral,0.021894836911899418
2025-02-14,48,Neutral,-0.013027128109943775
2025-02-15,50,Neutral,0.009598192987589016
2025-02-16,54,Neutral,0.0008356906138937692
2025-02-17,51,Neutral,-0.014559843628242364
2025-02-18,47,Neutral,-0.0038813702046927023
2025-02-19,44,Fear,-0.0029262575740679475
2025-02-20,49,Neutral,0.011089273188617632
2025-02-21,55,Greed,0.018947214057701167
2025-02-22,49,Neutral,-0.022860980582994683
2025-02-23,50,Neutral,0.004462454218816081
2025-02-24,49,Neutral,-0.002451127478150239
2025-02-25,25,Extreme Fear,-0.051186816965203885
2025-02-26,21,Extreme Fear,-0.02889596234165903
2025-02-27,10,Extreme Fear,-0.05470804215649505
2025-02-28,16,Extreme Fear,0.00964277359532062
2025-03-01,20,Extreme Fear,-0.0031548371249103813
2025-03-02,26,Fear,0.01851397292625223
2025-03-03,33,Fear,0.09599734858159392
2025-03-04,15,Extreme Fear,-0.08632173094175022
2025-03-05,20,Extreme Fear,0.013771785889272525
2025-03-06,25,Extreme Fear,0.03771899323034522
2025-03-07,34,Fear,-0.006651798711629242
2025-03-08,28,Fear,-0.03586682950592812
2025-03-09,27,Fear,-0.0072643584555524
2025-03-10,20,Extreme Fear,-0.06259180046256474
2025-03-11,24,Extreme Fear,-0.024361245917513652
2025-03-12,34,Fear,0.050964288157419935
2025-03-13,45,Fear,0.013105669673419973
2025-03-14,27,Fear,-0.033204629042709044
2025-03-15,46,Fear,0.03542352137586624
2025-03-16,30,Fear,0.00500146680380098
2025-03-17,32,Fear,-0.02110484284098013
2025-03-18,34,Fear,0.017730748634636084
2025-03-19,32,Fear,-0.015406832915503599
2025-03-20,49,Neutral,0.0487486001646702
2025-03-21,31,Fear,-0.0293104253455182
2025-03-22,32,Fear,-0.0031008431945065418
2025-03-23,30,Fear,-0.0025738076190472414
2025-03-24,45,Fear,0.023801430469765128
2025-03-25,46,Fear,0.017951528988820797
2025-03-26,47,Neutral,0.0022083961106582617
2025-03-27,40,Fear,-0.0063953911315695056
2025-03-28,44,Fear,0.0030636316712566725
2025-03-29,26,Fear,-0.03287736017998477
2025-03-30,32,Fear,-0.01991829273037571
2025-03-31,34,Fear,-0.0039041445631627925
2025-04-01,34,Fear,0.001915000878034645
2025-04-02,44,Fear,0.03300640933811416
2025-04-03,25,Extreme Fear,-0.03180715842401194
2025-04-04,28,Fear,0.0077255914482110555
2025-04-05,30,Fear,0.008273053038823308
2025-04-06,34,Fear,-0.00305445462054843
2025-04-07,23,Extreme Fear,-0.06440989155693222
2025-04-08,24,Extreme Fear,0.012374253002926494
2025-04-09,18,Extreme Fear,-0.03599680964085705
