date,fear_greed_score,sentiment_label
2024-11-28,77,Extreme Greed
2024-11-29,78,Extreme Greed
2024-11-30,84,Extreme Greed
2024-12-01,81,Extreme Greed
2024-12-02,80,Extreme Greed
2024-12-03,76,Extreme Greed
2024-12-04,78,Extreme Greed
2024-12-05,84,Extreme Greed
2024-12-06,72,Greed
2024-12-07,75,Greed
2024-12-08,79,Extreme Greed
2024-12-09,78,Extreme Greed
2024-12-10,78,Extreme Greed
2024-12-11,74,Greed
2024-12-12,83,Extreme Greed
2024-12-13,76,Extreme Greed
2024-12-14,83,Extreme Greed
2024-12-15,80,Extreme Greed
2024-12-16,83,Extreme Greed
2024-12-17,87,Extreme Greed
2024-12-18,81,Extreme Greed
2024-12-19,75,Greed
2024-12-20,74,Greed
2024-12-21,73,Greed
2024-12-22,73,Greed
2024-12-23,70,Greed
2024-12-24,73,Greed
2024-12-25,73,Greed
2024-12-26,79,Extreme Greed
2024-12-27,74,Greed
2024-12-28,72,Greed
2024-12-29,73,Greed
2024-12-30,65,Greed
2024-12-31,64,Greed
2025-01-01,66,Greed
2025-01-02,70,Greed
2025-01-03,74,Greed
2025-01-04,73,Greed
2025-01-05,72,Greed
2025-01-06,76,Extreme Greed
2025-01-07,78,Extreme Greed
2025-01-08,70,Greed
2025-01-09,69,Greed
2025-01-10,50,Neutral
2025-01-11,69,Greed
2025-01-12,62,Greed
2025-01-13,61,Greed
2025-01-14,63,Greed
2025-01-15,70,Greed
2025-01-16,75,Greed
2025-01-17,75,Greed
2025-01-18,77,Extreme Greed
2025-01-19,77,Extreme Greed
2025-01-20,76,Extreme Greed
2025-01-21,76,Extreme Greed
2025-01-22,84,Extreme Greed
2025-01-23,75,Greed
2025-01-24,75,Greed
2025-01-25,75,Greed
2025-01-26,73,Greed
2025-01-27,71,Greed
2025-01-28,72,Greed
2025-01-29,72,Greed
2025-01-30,70,Greed
2025-01-31,76,Extreme Greed
2025-02-01,68,Greed
2025-02-02,60,Greed
2025-02-03,44,Fear
2025-02-04,72,Greed
2025-02-05,54,Neutral
2025-02-06,49,Neutral
2025-02-07,44,Fear
2025-02-08,44,Fear
2025-02-09,46,Fear
2025-02-10,43,Fear
2025-02-11,47,Neutral
2025-02-12,46,Fear
2025-02-13,50,Neutral
2025-02-14,48,Neutral
2025-02-15,50,Neutral
2025-02-16,54,Neutral
2025-02-17,51,Neutral
2025-02-18,47,Neutral
2025-02-19,44,Fear
2025-02-20,49,Neutral
2025-02-21,55,Greed
2025-02-22,49,Neutral
2025-02-23,50,Neutral
2025-02-24,49,Neutral
2025-02-25,25,Extreme Fear
2025-02-26,21,Extreme Fear
2025-02-27,10,Extreme Fear
2025-02-28,16,Extreme Fear
2025-03-01,20,Extreme Fear
2025-03-02,26,Fear
2025-03-03,33,Fear
2025-03-04,15,Extreme Fear
2025-03-05,20,Extreme Fear
2025-03-06,25,Extreme Fear
2025-03-07,34,Fear
2025-03-08,28,Fear
2025-03-09,27,Fear
2025-03-10,20,Extreme Fear
2025-03-11,24,Extreme Fear
2025-03-12,34,Fear
2025-03-13,45,Fear
2025-03-14,27,Fear
2025-03-15,46,Fear
2025-03-16,30,Fear
2025-03-17,32,Fear
2025-03-18,34,Fear
2025-03-19,32,Fear
2025-03-20,49,Neutral
2025-03-21,31,Fear
2025-03-22,32,Fear
2025-03-23,30,Fear
2025-03-24,45,Fear
2025-03-25,46,Fear
2025-03-26,47,Neutral
2025-03-27,40,Fear
2025-03-28,44,Fear
2025-03-29,26,Fear
2025-03-30,32,Fear
2025-03-31,34,Fear
2025-04-01,34,Fear
2025-04-02,44,Fear
2025-04-03,25,Extreme Fear
2025-04-04,28,Fear
2025-04-05,30,Fear
2025-04-06,34,Fear
2025-04-07,23,Extreme Fear
2025-04-08,24,Extreme Fear
2025-04-09,18,Extreme Fear
2025-04-10,39,Fear
2025-04-11,25,Extreme Fear
2025-04-12,43,Fear
2025-04-13,45,Fear
2025-04-14,31,Fear
2025-04-15,38,Fear
2025-04-16,29,Fear
2025-04-17,30,Fear
2025-04-18,33,Fear
2025-04-19,32,Fear
2025-04-20,37,Fear
2025-04-21,39,Fear
2025-04-22,47,Neutral
2025-04-23,72,Greed
2025-04-24,63,Greed
2025-04-25,60,Greed
2025-04-26,65,Greed
2025-04-27,61,Greed
2025-04-28,54,Neutral
2025-04-29,60,Greed
2025-04-30,56,Greed
2025-05-01,53,Neutral
2025-05-02,67,Greed
2025-05-03,65,Greed
2025-05-04,64,Greed
2025-05-05,52,Neutral
2025-05-06,59,Greed
2025-05-07,67,Greed
2025-05-08,65,Greed
2025-05-09,73,Greed
2025-05-10,70,Greed
2025-05-11,70,Greed
2025-05-12,70,Greed
2025-05-13,70,Greed
2025-05-14,73,Greed
2025-05-15,70,Greed
2025-05-16,71,Greed
2025-05-17,74,Greed
2025-05-18,74,Greed
2025-05-19,74,Greed
2025-05-20,71,Greed
2025-05-21,70,Greed
2025-05-22,72,Greed
2025-05-23,78,Extreme Greed
2025-05-24,66,Greed
2025-05-25,74,Greed
2025-05-26,73,Greed
2025-05-27,74,Greed
2025-05-28,71,Greed
2025-05-29,74,Greed
2025-05-30,60,Greed
2025-05-31,50,Neutral
2025-06-01,56,Greed
2025-06-02,64,Greed
2025-06-03,64,Greed
2025-06-04,62,Greed
2025-06-05,57,Greed
2025-06-06,45,Fear
2025-06-07,52,Neutral
2025-06-08,62,Greed
2025-06-09,62,Greed
2025-06-10,71,Greed
2025-06-11,72,Greed
2025-06-12,71,Greed
2025-06-13,61,Greed
2025-06-14,63,Greed
2025-06-15,60,Greed
2025-06-16,61,Greed
2025-06-17,68,Greed
2025-06-18,52,Neutral
2025-06-19,57,Greed
